UF,População,epiweek,corredor baixo,corredor mediano,corredor alto,ano,Unidade da Federação,Tipo,dado,escala
12,842290,46,0.043963159114906114,0.16988378358236522,0.31099268699227056,2017,Acre,Estado,srag,incidência
12,842290,47,0.011954968250420306,0.16081247210126734,0.3315667570816294,2017,Acre,Estado,srag,incidência
12,842290,48,0.05115748131338038,0.184439384264288,0.33462081556371626,2017,Acre,Estado,srag,incidência
12,842290,49,0.14898760014690082,0.3788023689168112,0.6545835414477497,2017,Acre,Estado,srag,incidência
12,842290,50,0.01681742329450442,0.2178404821374318,0.4586054545833311,2017,Acre,Estado,srag,incidência
12,842290,51,0.01107422521913226,0.17626685017306576,0.3684491883038497,2017,Acre,Estado,srag,incidência
12,842290,52,0.08895097134401397,0.266817669417712,0.4737366968580785,2017,Acre,Estado,srag,incidência
13,4124033,1,0.0,0.013267378345692693,0.03157137481351069,2017,Amazonas,Estado,srag,incidência
13,4124033,2,0.0,0.01769556842458342,0.05329169637071973,2017,Amazonas,Estado,srag,incidência
13,4124033,3,0.0,0.00418781563863746,0.012446723728518405,2017,Amazonas,Estado,srag,incidência
13,4124033,4,0.0,0.01765881153064308,0.04421587488447098,2017,Amazonas,Estado,srag,incidência
13,4124033,5,0.0,0.021888137983164132,0.06618753491903773,2017,Amazonas,Estado,srag,incidência
13,4124033,6,0.0,0.02610058067005272,0.06966737864624561,2017,Amazonas,Estado,srag,incidência
13,4124033,7,4.722036758586512e-05,0.01766569320601641,0.03559456197259592,2017,Amazonas,Estado,srag,incidência
13,4124033,8,0.0,0.04342686524827455,0.10293322838265252,2017,Amazonas,Estado,srag,incidência
13,4124033,9,0.0,0.01769556842458342,0.05329169637071973,2017,Amazonas,Estado,srag,incidência
13,4124033,10,0.0,0.052189141837534425,0.11113911625418238,2017,Amazonas,Estado,srag,incidência
13,4124033,11,0.014906805907308971,0.06090031837074239,0.10897816328362953,2017,Amazonas,Estado,srag,incidência
13,4124033,12,0.010597888267849244,0.06891358570809825,0.1305943412069701,2017,Amazonas,Estado,srag,incidência
13,4124033,13,0.0,0.04344246472192759,0.09085491005311996,2017,Amazonas,Estado,srag,incidência
13,4124033,14,0.0,0.046875322046165964,0.10752215632900808,2017,Amazonas,Estado,srag,incidência
13,4124033,15,0.017874331091926262,0.07148180458463105,0.12791257475207196,2017,Amazonas,Estado,srag,incidência
13,4124033,16,0.0147340147310413,0.062360206495328585,0.11222171717968754,2017,Amazonas,Estado,srag,incidência
13,4124033,17,0.0006590972467899192,0.03330503186479894,0.0670160215550255,2017,Amazonas,Estado,srag,incidência
13,4124033,18,0.017798291375830333,0.04651149119917775,0.07603472170451919,2017,Amazonas,Estado,srag,incidência
13,4124033,19,0.008257577328058208,0.0624638383697873,0.11958435346940388,2017,Amazonas,Estado,srag,incidência
13,4124033,20,0.0011107199567546024,0.0574295763410122,0.11691672722177415,2017,Amazonas,Estado,srag,incidência
13,4124033,21,0.0,0.02519285679244354,0.051197381442814605,2017,Amazonas,Estado,srag,incidência
13,4124033,22,0.00012341883864164238,0.042114125470048565,0.08586783395721898,2017,Amazonas,Estado,srag,incidência
13,4124033,23,0.0,0.05995110797650272,0.13460908710125066,2017,Amazonas,Estado,srag,incidência
13,4124033,24,0.001239901696948209,0.04157616047038415,0.08353741817672344,2017,Amazonas,Estado,srag,incidência
13,4124033,25,0.010342962040914784,0.05896887280626718,0.10993505740594613,2017,Amazonas,Estado,srag,incidência
13,4124033,26,0.0,0.03276797399425968,0.07860225138059285,2017,Amazonas,Estado,srag,incidência
13,4124033,27,0.0,0.02539437126498667,0.05172498448603924,2017,Amazonas,Estado,srag,incidência
13,4124033,28,0.007076327575601837,0.026232398269791846,0.045752845560266486,2017,Amazonas,Estado,srag,incidência
13,4124033,29,0.000712849189028919,0.017081806408213662,0.033718515521121484,2017,Amazonas,Estado,srag,incidência
13,4124033,30,0.006425980720313751,0.017003995685152432,0.02769319061030595,2017,Amazonas,Estado,srag,incidência
13,4124033,31,0.0,0.0044063396614306685,0.01309900582461032,2017,Amazonas,Estado,srag,incidência
13,4124033,32,0.0,0.012526554025914516,0.02934996933836209,2017,Amazonas,Estado,srag,incidência
13,4124033,33,0.0,0.0041222150745408035,0.012250963966241812,2017,Amazonas,Estado,srag,incidência
13,4124033,34,0.0,0.016429986190807933,0.0405120886723318,2017,Amazonas,Estado,srag,incidência
13,4124033,35,0.0,0.020982723419364024,0.04437246549873697,2017,Amazonas,Estado,srag,incidência
13,4124033,36,0.0,0.008469767267539341,0.019073245403639968,2017,Amazonas,Estado,srag,incidência
13,4124033,37,0.0,0.008535651862675131,0.019219787498498286,2017,Amazonas,Estado,srag,incidência
